"代碼","名稱","市場","最新價","漲跌額","漲跌幅","5分鐘漲跌幅","60日漲跌幅","年初至今","買入價","賣出價","買量","賣量","成交量","成交額","股息率TTM","開市","前收","最高","最低","換手率","漲跌速率","振幅","市盈率TTM","市盈率(靜)","市淨率","量比","委比","盤前價","盤後價","夜盤價","盤前漲跌幅","盤後漲跌幅","夜盤漲跌幅","盤前額","盤後額","盤前振幅","盤後振幅","盤前漲跌額","盤後漲跌額","夜盤漲跌額","市值","流通值","總股本","流通股","5日漲跌幅","10日漲跌幅","20日漲跌幅","120日漲跌幅","250日漲跌幅","所屬行業","道瓊斯指數相關性","納斯達克100相關性","標普500相關性","羅素2000相關性","費城半導體指數相關性","VIX指數相關性","恒生指數相關性","恒生科技指數相關性","富時中國50指數相關性","滬深300相關性","富時中國A50指數相關性","日經225相關性","TOPIX指數相關性","富時海峽指數相關性","大馬綜合指數相關性","TSX相關性","ASX200相關性","期權總成交","期權總持倉","正股IV","正股HV","正股IV-正股HV","IV等級","IV百分位數","行使價","到期日","未平倉數量","溢價","引伸波幅","Delta","Gamma","Theta","Vega","Rho","距離到期日","內在價值","時間價值","槓桿比率","有效槓桿","盈虧平衡點","達到盈虧平衡","盈利概率"
"RCAT.US","Red Cat Holdings","美股","10.670","+0.900","+9.21%","-1.16%","-21.95%","+34.55%","10.670","10.750","2800","1000","16970396","177701981","0.000%","10.250","9.770","10.825","9.850","12.47%","-0.19%","9.98%","虧損","虧損","6.71","1.90","47.37%","10.240","10.728","12.130","+4.81%","+0.54%","+13.68%","13766240","4469204","13.51","1.87","+0.470","+0.058","+1.460","1603369771","1452614344","150268957","136140051","+24.80%","-3.26%","-5.91%","+53.30%","+74.06%","航空航天與國防","0.29","0.31","0.32","0.43","0.28","-0.28","-","-","-","-","-","-","-","-","-","-","-","52944","226900","107.12%","89.43%","17.69%","35","36%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ONDS.US","Ondas","美股","10.800","+1.030","+10.54%","-1.11%","+1.22%","+10.66%","10.760","10.780","500","5200","93222614","979210075","0.000%","10.000","9.770","11.060","9.680","18.94%","-0.19%","14.13%","120.00","虧損","4.99","1.54","-82.46%","9.990","10.780","11.640","+2.25%","-0.19%","+7.78%","23507666","25049878","3.68","2.13","+0.220","-0.020","+0.840","5354236620","5316882725","495762650","492303956","+18.36%","+19.47%","+3.05%","+33.83%","+909.35%","通訊設備","0.23","0.31","0.31","0.38","0.26","-0.26","-","-","-","-","-","-","-","-","-","-","-","335568","1732730","105.58%","120.11%","-14.53%","5","12%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"HIMS.US","Hims & Hers Health","美股","25.200","+1.350","+5.66%","-0.63%","+52.91%","-22.39%","25.180","25.260","200","400","22756920","573564667","0.000%","24.470","23.850","25.780","24.240","11.14%","-0.02%","6.46%","虧損","49.41","13.07","1.25","-33.33%","24.470","25.200","25.040","+2.60%","0.00%","-0.63%","14008557","18299143","1.76","1.43","+0.620","0.000","-0.160","5832733914","5145875482","231457695","204201408","+12.30%","+0.68%","-9.71%","-30.60%","-52.76%","專業與通用藥品製造商","0.33","0.43","0.43","0.47","0.38","-0.36","-","-","-","-","-","-","-","-","-","-","-","128033","991882","78.81%","90.48%","-11.66%","27","25%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"SOFI.US","SoFi Technologies","美股","16.170","+0.190","+1.19%","+0.12%","-12.07%","-38.24%","16.240","16.250","19900","100","66232348","1081335266","0.000%","16.050","15.980","16.690","16.010","5.24%","-0.19%","4.26%","35.93","41.46","1.92","1.11","99.00%","16.050","16.240","16.150","+0.44%","+0.43%","-0.12%","36397148","17587478","1.94","0.93","+0.070","+0.070","-0.020","20741925204","20424948332","1282741200","1263138425","+6.17%","+1.70%","-11.93%","-45.21%","+21.40%","信貸","0.53","0.55","0.58","0.63","0.45","-0.49","-","-","-","-","-","-","-","-","-","-","-","361245","4345884","55.62%","69.85%","-14.23%","11","10%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MSTR.US","Strategy","美股","154.200","-5.730","-3.58%","-0.18%","+12.02%","+1.48%","152.000","152.010","1300","100","11885089","1846132139","0.000%","156.760","159.930","157.550","153.822","3.60%","0.05%","2.33%","虧損","虧損","1.47","1.06","85.71%","156.370","152.000","149.550","-2.23%","-1.43%","-3.02%","81431344","90429177","2.70","1.82","-3.560","-2.200","-4.650","54039061862","50881588646","350447872","329971392","-6.34%","-16.39%","-6.95%","-14.96%","-57.67%","應用軟件","0.34","0.51","0.48","0.49","0.44","-0.38","-","-","-","-","-","-","-","-","-","-","-","315593","2500736","68.35%","63.63%","4.72%","17","23%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"DJT.US","特朗普媒體科技集團","美股","8.570","+0.290","+3.50%","+0.18%","-22.65%","-35.27%","8.550","8.580","600","2600","5223803","44480014","0.000%","8.240","8.280","8.795","8.150","3.19%","0.12%","7.79%","虧損","虧損","1.89","1.40","-62.50%","8.250","8.552","8.480","-0.36%","-0.21%","-1.05%","866398","1400776","1.45","1.43","-0.030","-0.018","-0.090","2373494306","1402252187","276953828","163623359","+7.12%","-1.83%","-6.44%","-23.41%","-60.12%","互聯網內容與資訊","0.26","0.39","0.36","0.41","0.35","-0.35","-","-","-","-","-","-","-","-","-","-","-","17425","553012","80.11%","44.16%","35.95%","50","82%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"LITE.US","Lumentum","美股","902.310","-8.500","-0.93%","-0.46%","+15.20%","+144.80%","893.000","894.500","40","80","4236049","3775653165","0.000%","901.550","910.810","915.000","858.000","5.49%","-0.01%","6.26%","158.86","2438.68","23.61","0.86","-33.33%","899.110","894.000","886.900","-1.28%","-0.92%","-1.71%","240753239","91544538","2.33","1.27","-11.700","-8.310","-15.410","70199718000","69672507290","77800000","77215710","+1.37%","-9.08%","+14.02%","+197.98%","+1058.29%","通訊設備","0.33","0.50","0.48","0.44","0.59","-0.40","-","-","-","-","-","-","-","-","-","-","-","26312","213564","98.04%","99.09%","-1.05%","71","65%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CRCL.US","Circle","美股","102.640","-1.530","-1.47%","-0.13%","+6.76%","+29.43%","102.200","102.300","100","3200","8300661","864496403","0.000%","103.000","104.170","106.600","102.330","4.31%","0.35%","4.10%","虧損","虧損","7.44","0.75","-93.94%","103.110","102.220","101.310","-1.02%","-0.41%","-1.30%","78632667","38616054","3.07","0.92","-1.060","-0.420","-1.330","25513843719","19749994650","248576030","192420057","-7.56%","-16.99%","+8.79%","+32.54%","+231.10%","資本市場","0.33","0.38","0.38","0.41","0.28","-0.28","-","-","-","-","-","-","-","-","-","-","-","54583","739161","86.08%","111.14%","-25.06%","22","38%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
