"代碼","名稱","市場","最新價","漲跌額","漲跌幅","5分鐘漲跌幅","60日漲跌幅","年初至今","買入價","賣出價","買量","賣量","成交量","成交額","股息率TTM","開市","前收","最高","最低","換手率","漲跌速率","振幅","市盈率TTM","市盈率(靜)","市淨率","量比","委比","盤前價","盤後價","夜盤價","盤前漲跌幅","盤後漲跌幅","夜盤漲跌幅","盤前額","盤後額","盤前振幅","盤後振幅","盤前漲跌額","盤後漲跌額","夜盤漲跌額","市值","流通值","總股本","流通股","5日漲跌幅","10日漲跌幅","20日漲跌幅","120日漲跌幅","250日漲跌幅","所屬行業","道瓊斯指數相關性","納斯達克100相關性","標普500相關性","羅素2000相關性","費城半導體指數相關性","VIX指數相關性","恒生指數相關性","恒生科技指數相關性","富時中國50指數相關性","滬深300相關性","富時中國A50指數相關性","日經225相關性","TOPIX指數相關性","富時海峽指數相關性","大馬綜合指數相關性","TSX相關性","ASX200相關性","期權總成交","期權總持倉","正股IV","正股HV","正股IV-正股HV","IV等級","IV百分位數","行使價","到期日","未平倉數量","溢價","引伸波幅","Delta","Gamma","Theta","Vega","Rho","距離到期日","內在價值","時間價值","槓桿比率","有效槓桿","盈虧平衡點","達到盈虧平衡","盈利概率"
"DRAM.US","Roundhill Memory ETF","美股","60.730","+0.220","+0.36%","-0.17%","+124.93%","+124.93%","59.500","59.750","100","500","42342144","2576262183","0.000%","62.440","60.510","62.680","59.050","21.09%","-0.16%","6.00%","--","--","1.05","1.33","-66.67%","62.560","59.718","60.350","+3.39%","-1.67%","-0.63%","392192206","54267026","4.21","3.11","+2.050","-1.013","-0.380","12193976700","12193976700","200790000","200790000","+22.02%","+18.38%","+62.68%","+124.93%","+124.93%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","171843","1095575","92.20%","88.21%","3.99%","90","91%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"GFS.US","GlobalFoundries","美股","81.110","-8.850","-9.84%","-0.32%","+62.64%","+132.27%","79.990","81.000","100","2000","21664942","1760842223","0.000%","82.890","89.960","83.300","78.890","17.38%","0.04%","4.90%","58.35","51.01","3.80","2.67","-90.48%","82.880","80.860","80.400","-7.87%","-0.31%","-0.88%","172640683","9758632","4.12","1.74","-7.080","-0.250","-0.710","44482057448","10109624129","548416440","124640909","+21.64%","+12.42%","+36.34%","+118.45%","+120.77%","半導體","0.44","0.55","0.52","0.52","0.65","-0.42","-","-","-","-","-","-","-","-","-","-","-","14624","92437","83.55%","85.71%","-2.16%","88","99%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU.US","美光科技","美股","928.410","+32.530","+3.63%","+0.15%","+125.07%","+225.43%","904.600","904.880","40","80","72295713","66635870205","0.050%","955.660","895.880","956.160","888.150","6.65%","-0.02%","7.59%","43.81","122.32","14.45","1.34","-33.33%","955.370","904.880","913.950","+6.64%","-2.53%","-1.56%","8569697148","2010058687","6.36","3.48","+59.490","-23.530","-14.460","1046999570289","1009182227974","1127734051","1087000601","+32.87%","+21.11%","+84.10%","+287.98%","+867.59%","半導體","0.33","0.63","0.56","0.46","0.75","-0.47","-","-","-","-","-","-","-","-","-","-","-","1092455","3334367","107.35%","101.23%","6.12%","100","100%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"SNDK.US","閃迪","美股","1589.940","+0.390","+0.02%","-0.12%","+156.82%","+569.79%","1556.250","1557.000","40","200","10394169","16477451657","0.000%","1645.990","1589.550","1658.770","1528.280","7.12%","-0.04%","8.21%","54.34","虧損","17.09","0.87","-66.67%","1647.990","1556.318","1557.860","+3.68%","-2.11%","-2.02%","1712391277","447460913","4.99","2.83","+58.440","-33.622","-32.080","235453829835","232132655047","148089758","146000890","+14.94%","+9.50%","+58.62%","+674.26%","+4021.15%","電腦硬件","0.30","0.43","0.41","0.42","0.51","-0.38","-","-","-","-","-","-","-","-","-","-","-","161975","700260","107.88%","99.21%","8.67%","74","71%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"WDC.US","西部數據","美股","530.600","+5.950","+1.13%","+0.28%","+96.55%","+208.15%","526.150","528.230","40","40","6271303","3337081694","0.080%","538.970","524.650","546.680","521.700","1.86%","0.08%","4.76%","31.60","103.63","18.89","1.10","0.00%","542.870","526.410","525.000","+3.47%","-0.79%","-1.06%","199734522","103474875","6.00","1.34","+18.220","-4.190","-5.600","182888338709","178613929106","344682131","336626327","+16.41%","+8.56%","+35.71%","+232.07%","+917.94%","電腦硬件","0.36","0.58","0.55","0.49","0.66","-0.43","-","-","-","-","-","-","-","-","-","-","-","35403","416969","84.80%","62.25%","22.55%","87","77%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"STX.US","希捷科技","美股","870.660","+24.900","+2.94%","+0.11%","+129.81%","+216.71%","865.500","873.000","40","40","3801119","3308151416","0.340%","881.140","845.760","888.949","846.070","1.70%","-0.05%","5.07%","82.61","128.61","178.30","1.23","0.00%","878.930","865.540","861.000","+3.92%","-0.59%","-1.11%","136046544","435857137","6.18","1.36","+33.170","-5.120","-9.660","195227214175","194620065518","224228992","223531649","+18.72%","+7.65%","+50.37%","+227.68%","+651.56%","電腦硬件","0.36","0.52","0.50","0.44","0.59","-0.39","-","-","-","-","-","-","-","-","-","-","-","17665","197761","87.95%","67.35%","20.60%","99","99%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ARM.US","Arm Holdings","美股","302.710","-18.510","-5.76%","-0.07%","+143.39%","+176.93%","301.610","304.000","500","200","9356318","2875633128","0.000%","320.535","321.220","323.770","300.880","6.89%","-0.19%","7.13%","356.13","356.13","39.02","0.61","42.86%","320.990","302.000","303.360","-0.07%","-0.23%","+0.21%","76437796","73310187","2.18","1.42","-0.230","-0.710","+0.650","323318121440","41106708477","1068078760","135795674","+35.65%","+45.59%","+52.38%","+121.80%","+123.34%","半導體","0.44","0.65","0.62","0.51","0.70","-0.53","-","-","-","-","-","-","-","-","-","-","-","99113","838178","89.66%","110.72%","-21.06%","86","98%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IBM.US","IBM Corp","美股","255.200","+4.510","+1.80%","-0.17%","+7.40%","-12.72%","256.150","256.300","100","200","9275543","2362266971","2.630%","250.455","250.690","257.620","250.455","0.99%","-0.01%","2.86%","22.52","22.85","7.27","0.66","-33.33%","250.180","256.200","255.880","-0.20%","+0.39%","+0.27%","311497586","223492051","2.30","0.65","-0.510","+1.000","+0.680","239858723456","239352531449","939885280","937901769","+14.78%","+16.41%","+10.32%","-14.33%","+0.57%","資訊技術服務","0.49","0.36","0.42","0.38","0.27","-0.36","-","-","-","-","-","-","-","-","-","-","-","56752","438435","39.93%","47.90%","-7.97%","51","80%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"INTC.US","英特爾","美股","121.770","-1.750","-1.42%","+0.69%","+167.63%","+230.00%","119.430","119.700","100","700","93323344","11195992947","0.000%","124.390","123.520","125.270","117.000","1.86%","0.02%","6.70%","虧損","虧損","5.49","0.76","-75.00%","124.860","119.700","118.940","+1.08%","-1.70%","-2.32%","517463225","460881567","2.83","2.14","+1.340","-2.070","-2.830","612016020000","610871984274","5026000000","5016604946","+9.90%","+0.96%","+44.07%","+180.12%","+497.79%","半導體","0.41","0.51","0.49","0.47","0.60","-0.43","-","-","-","-","-","-","-","-","-","-","-","434320","5713419","85.70%","90.20%","-4.51%","79","96%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
