"代碼","名稱","市場","最新價","漲跌額","漲跌幅","5分鐘漲跌幅","60日漲跌幅","年初至今","買入價","賣出價","買量","賣量","成交量","成交額","股息率TTM","開市","前收","最高","最低","換手率","漲跌速率","振幅","市盈率TTM","市盈率(靜)","市淨率","量比","委比","盤前價","盤後價","夜盤價","盤前漲跌幅","盤後漲跌幅","夜盤漲跌幅","盤前額","盤後額","盤前振幅","盤後振幅","盤前漲跌額","盤後漲跌額","夜盤漲跌額","市值","流通值","總股本","流通股","5日漲跌幅","10日漲跌幅","20日漲跌幅","120日漲跌幅","250日漲跌幅","所屬行業","道瓊斯指數相關性","納斯達克100相關性","標普500相關性","羅素2000相關性","費城半導體指數相關性","VIX指數相關性","恒生指數相關性","恒生科技指數相關性","富時中國50指數相關性","滬深300相關性","富時中國A50指數相關性","日經225相關性","TOPIX指數相關性","富時海峽指數相關性","大馬綜合指數相關性","TSX相關性","ASX200相關性","期權總成交","期權總持倉","正股IV","正股HV","正股IV-正股HV","IV等級","IV百分位數","行使價","到期日","未平倉數量","溢價","引伸波幅","Delta","Gamma","Theta","Vega","Rho","距離到期日","內在價值","時間價值","槓桿比率","有效槓桿","盈虧平衡點","達到盈虧平衡","盈利概率"
"GFS.US","GlobalFoundries","美股","81.110","-8.850","-9.84%","-0.32%","+62.64%","+132.27%","79.990","81.000","100","2000","21664942","1760842223","0.000%","82.890","89.960","83.300","78.890","17.38%","0.04%","4.90%","58.35","51.01","3.80","2.67","-90.48%","82.880","80.860","80.400","-7.87%","-0.31%","-0.88%","172640683","9758632","4.12","1.74","-7.080","-0.250","-0.710","44482057448","10109624129","548416440","124640909","+21.64%","+12.42%","+36.34%","+118.45%","+120.77%","半導體","0.44","0.55","0.52","0.52","0.65","-0.42","-","-","-","-","-","-","-","-","-","-","-","14624","92437","83.55%","85.71%","-2.16%","88","99%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IBM.US","IBM Corp","美股","255.200","+4.510","+1.80%","-0.17%","+7.40%","-12.72%","256.150","256.300","100","200","9275543","2362266971","2.630%","250.455","250.690","257.620","250.455","0.99%","-0.01%","2.86%","22.52","22.85","7.27","0.66","-33.33%","250.180","256.200","255.880","-0.20%","+0.39%","+0.27%","311497586","223492051","2.30","0.65","-0.510","+1.000","+0.680","239858723456","239352531449","939885280","937901769","+14.78%","+16.41%","+10.32%","-14.33%","+0.57%","資訊技術服務","0.49","0.36","0.42","0.38","0.27","-0.36","-","-","-","-","-","-","-","-","-","-","-","56752","438435","39.93%","47.90%","-7.97%","51","80%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QBTS.US","D-Wave Quantum","美股","27.480","-0.340","-1.22%","-1.13%","+45.09%","+5.09%","27.000","27.120","2400","400","34015445","919092179","0.000%","27.260","27.820","28.050","25.695","9.57%","-0.33%","8.47%","虧損","虧損","8.96","0.47","71.43%","27.270","27.090","26.620","-1.98%","-1.42%","-3.13%","49040652","15462663","4.39","1.89","-0.550","-0.390","-0.860","10077949275","9768640441","366737601","355481821","+51.07%","+22.95%","+51.74%","+22.13%","+56.58%","電腦硬件","0.32","0.40","0.39","0.47","0.39","-0.33","-","-","-","-","-","-","-","-","-","-","-","80239","636572","107.72%","140.63%","-32.91%","39","62%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QUBT.US","Quantum Computing","美股","11.420","-0.260","-2.23%","-0.70%","+32.95%","+11.31%","11.390","11.450","5100","2000","20366922","233289704","0.000%","11.550","11.680","11.820","11.120","10.21%","-0.09%","5.99%","虧損","虧損","1.61","0.55","43.66%","11.560","11.433","11.250","-1.03%","+0.11%","-1.49%","11691433","3731748","2.83","1.23","-0.120","+0.013","-0.170","2575609552","2278789659","225534987","199543753","+23.86%","-3.06%","+33.26%","+3.82%","-10.71%","電腦硬件","0.33","0.35","0.37","0.47","0.32","-0.32","-","-","-","-","-","-","-","-","-","-","-","33654","406681","96.88%","123.75%","-26.88%","27","38%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RGTI.US","Rigetti Computing","美股","24.620","-0.445","-1.78%","-0.40%","+39.17%","+11.15%","24.210","24.340","900","1000","56481127","1382973253","0.000%","24.625","25.065","25.852","23.620","17.25%","0.14%","8.91%","虧損","虧損","14.02","0.57","-5.26%","24.630","24.270","23.830","-1.74%","-1.42%","-3.21%","65171687","15020599","3.39","2.15","-0.435","-0.350","-0.790","8183658628","8062496493","332398807","327477518","+54.26%","+29.10%","+50.21%","+3.10%","+73.87%","電腦硬件","0.35","0.43","0.42","0.51","0.42","-0.35","-","-","-","-","-","-","-","-","-","-","-","131970","801544","114.12%","141.35%","-27.22%","39","77%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"INFQ.US","Infleqtion","美股","15.460","-0.420","-2.64%","+0.19%","+29.70%","-0.90%","15.420","15.450","500","300","25437867","397073365","0.000%","15.995","15.880","16.410","14.660","18.49%","1.01%","11.02%","虧損","虧損","5.76","0.65","25.00%","15.940","15.459","15.510","+0.38%","-0.01%","+0.32%","24087244","7292703","4.79","2.58","+0.060","-0.001","+0.050","3373323935","2126687170","218196891","137560619","+45.44%","+18.02%","+22.50%","+6.92%","+47.52%","基礎設施軟件","0.43","0.42","0.46","0.47","0.36","-0.42","-","-","-","-","-","-","-","-","-","-","-","33065","214718","133.51%","139.47%","-5.97%","65","87%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
